Data;Magnitudo;Pericolosità;Città
1960.05.22;9.5;Molto alta;Valdivia, Cile

1964.03.27;9.2;Molto alta;Stretto di Prince William, Alaska (Stati Uniti)

2004.12.26;9.1;Molto alta;Oceano Indiano, Sumatra, Indonesia

2011.03.11;9.0;Molto alta;Oceano Pacifico, Regione di Tohoku, Giappone

1952.11.04;9.0;Molto alta;Kamcatka, Russia (all'epoca in URSS)

1868.08.13;9.0;Molto alta;Arica, Cile

1700.01.26;8.7;Molto alta;Oceano Pacifico, USA e Canada
1869.07.09;8.9;Molto alta;Oceano Pacifico, Regione di Tohoku, Giappone

1611.12.02;8.9;Molto alta;Oceano Pacifico, Hokkaido, Giappone
1762.04.02;8.8;Molto alta;Chittagong, Bangladesh
